candidate_id,fold,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
feature_probe_existing,1,0.1,0.9856770833333334,0.4883720930232558,1.0,0.65625,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.11,0.9869791666666666,0.5121951219512195,1.0,0.6774193548387096,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.12,0.9869791666666666,0.5121951219512195,1.0,0.6774193548387096,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.13,0.9866536458333334,0.5063291139240507,0.9523809523809523,0.6611570247933884,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.13999999999999999,0.9866536458333334,0.5063291139240507,0.9523809523809523,0.6611570247933884,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.14999999999999997,0.9873046875,0.52,0.9285714285714286,0.6666666666666666,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.15999999999999998,0.9876302083333334,0.527027027027027,0.9285714285714286,0.6724137931034483,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.16999999999999998,0.98828125,0.5416666666666666,0.9285714285714286,0.6842105263157895,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.17999999999999997,0.98828125,0.5416666666666666,0.9285714285714286,0.6842105263157895,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.18999999999999995,0.9889322916666666,0.5588235294117647,0.9047619047619048,0.6909090909090909,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.19999999999999996,0.9892578125,0.5671641791044776,0.9047619047619048,0.6972477064220184,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.20999999999999996,0.9895833333333334,0.5757575757575758,0.9047619047619048,0.7037037037037037,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.21999999999999995,0.9895833333333334,0.578125,0.8809523809523809,0.6981132075471698,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.22999999999999995,0.9899088541666666,0.5901639344262295,0.8571428571428571,0.6990291262135923,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,1,0.23999999999999994,0.9908854166666666,0.6206896551724138,0.8571428571428571,0.72,0.9967153858242968,0.7655507436390627,0.005742281615793217
